title,previous rating,rating,year,era,head_writer,number_of_episode,average_viewership,highest_viewership,lowest_viewership,airing_status,synopsis
Himitsu sentai Goranger,7.4,6.7,1975,Showa,Shozo Uehara,84,16.1,22.3,8.7,finished,"A powerful terrorist organization known as the Black Cross Army threatens to destroy the Earth, with only the defense organization EAGLE able to oppose them. In retaliation, Black Cross Army destroys multiple EAGLE headquarters across Japan, killing all but five people. Now, these five remaining EAGLE members are called to form a secret, powerful team known as Gorenger, the only force left that has a chance to stop the Black Cross Army and their evil leader, Black Cross Führer."
J.A.K.Q. Dengekitai,6.3,6.6,1977,Showa,Shozo Uehara,35,9.8,13.6,5.5,finished,"Iron Claw is the ""Crime Czar"" of a global criminal empire known simply as ""Crime"". With a network of wealthy and influential sympathizers and employing an army of faceless, leather- masked thugs (Crimers) and cyborg/robot assassins, ""Crime"" seeks to become the most powerful mafia organization in the world. To combat this threat, INTERPOL organizes a special taskforce to spearhead the efforts to bring Crime to justice. Tokyo International Science Special Investigation Squad branch commander, Kujirai Daisuke, proposes a radical experiment to aid his forces in Japan. Taking the codename “Joker”, he recruits four young test subjects to undergo his cyborg enhancement project. These four then surgically altered and given various energy manipulation powers and bionic enhancements, the four youths begin their mission to destroy Crime as the crime-busting quartet code-named ""JAKQ – Dengekitai"""
Battle Fever J,7.3,6.2,1979,Showa,Shozo Uehara & Takaku Susumu,52,12,16.8,8.1,finished,"General Kurama assembles four young agents who had been dispatched around the world for training. They are joined by FBI investigator Diane Martin, whose father was murdered by Egos. The five don powered suits to become the Battle Fever team. "
Denshi Sentai Denjiman,7.7,7.5,1980,Showa,Shozo Uehara,51,13.5,18.6,8.7,finished,"3,000 years ago, the Vader Clan devastated Denzi Star. Denzi Land, an island from Denzi Star, landed on Earth. In modern times, the computer of Denziland awoke the Denzidog IC when it detected the Vader Clan approaching Earth. IC found five young people to become the Denzimen in order to defend Earth, the Vader Clan's next target."
Taiyou sentai Sun Vulcan,6.2,6.1,1981,Showa,Shozo Uehara,50,12.5,18.4,6.2,finished,"The threat of the Machine Empire Black Magma causes the EPDS (Earth Peace Defense Squad) to decide to establish the Solar Squadron at a summit. From the EPDS's Air Force, Navy, and Rangers, Commander Arashiyama assembles three specialists to become Sun Vulcan. "
Dai sentai Goggle V,7.4,7.2,1982,Showa,Hirohisa Soda,50,12.3,15.8,7.3,finished,"Dark Science Empire Deathdark has always been lying in shadows, manipulating the progress of various sciences that usually led to destruction of many human lives. Dr. Hideki Hongou, already aware of the existance of Deathdark, formed the Future Science Laboratory in order to one day counter the rise of Deathdark and teach the future about constructive and good science. During one of his trips to Wolfborg Castle in Germany, Dr. Hongou was ambushed by Deathdark soldiers, declaring that the time has come for Deathdark to launch its goal of world conquest. A passingby world class explorer, Ken'ichi Akama, saved Hongou and drafted Ken'ichi to become the first member of Goggle V and gathered fouur more individuals to complete the team. Thus their battlle against Deathdark began."
Kagaku sentai Dynaman,6.9,7,1983,Showa,Hirohisa Soda,51,10.6,16.9,4.7,finished,"The Jashinka Empire rises from the depths of the Earth to conquer the world. To stop them, Dr. Yumeno assembles five inventors to his laboratory, Yumeno Invention Laboratory and gives them the power to become Dynamen. Each member has their own goal, but as the Kagaku Sentai Dynaman, they are united to stop the Jashinka Empire in their tracks."
Coudenshi Baioman,6.4,6.5,1984,Showa,Hirohisa Soda,51,10.5,13.6,7.7,finished,"Many centuries ago, the android Peebo and the BioRobo came to Earth from the fallen Bio Star. The BioRobo showered five people with the Bio Particles, which would be passed on to later generations. In the present day, Doctor Man and his Shin Teikoku (New Empire) Gear threaten the world. Peebo must find the descendants of the original Bio Particle-showered five to form the Choudenshi Bioman."
Dengeki sentai Changeman,8.3,8.2,1985,Showa,Hirohisa Soda,55,11.1,16.1,6.5,finished,"After already conquering hundreds of planets, the Great Star League Gozma sets its sights onto Earth. To defend the lands in such a great crisis, the military begins a special branch known as the Earth Defense Force, comprised of elite members from all areas of the military. Under the supervision of Commander Ibuki, the numerous gathered soldiers of the Earth Defense Force begin a harsh training. The Gozma decide to eliminate those who pose the greatest risk of interfering with their invasion — the military. The Earth Defense Force then attacked by numerous Gozma troops. Five surviving officers, beaten and exhausted, refusing to surrender, until the earth shakes and empowers the five with the Earth Force, enabling them to possess the power of mythological beasts. With the mystical power of the Earth Force and the technology of the military, the Changeman begin their war against Gozma."
Choushinsei Flashman,8,8,1986,Showa,Hirohisa Soda,50,12.3,16.3,6.2,finished,"One day, five children were kidnapped by an alien group known as the Alien Hunters, for the sake of the Reconstructive Experiment Empire Mess, who wanted samples of humans from Earth to experiment on. They were rescued by the Flash alien race, each one of the five rescued children was taken to a different planet of the Flash solar system for training. 20 years later, they finally returned to Earth to combat Mess, who are now trying to invade, they use the opportunity to search for their birth parents."
